,PATTERN,message,@timestamp,message_only_1,logLevel,thread,class_name_method_name
1,Get Subscription & Device Error 500,"""2022-02-24 20:55:15.239  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 500 : [{\""status\"":\""UNKNOWN_EXCEPTION\"",\""statusMessage\"":null}]\n""",2022-02-24T20:55:15.240000,"Get Subscription & Device Error 500 : [{\""status\"":\""UNKNOWN_EXCEPTION\"",\""statusMessage\"":null}]\n""",INFO,nio-8080-exec-2,.w.r.s.m.s.SubscriptionManagementService
2,Get Subscriber Error 500,"""2022-02-24 20:55:15.239  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscriber Error 500 : [{\""status\"":\""UNKNOWN_EXCEPTION\"",\""statusMessage\"":null}]\n""",2022-02-24T20:55:15.240000,"Get Subscriber Error 500 : [{\""status\"":\""UNKNOWN_EXCEPTION\"",\""statusMessage\"":null}]\n""",INFO,nio-8080-exec-2,.w.r.s.m.s.SubscriptionManagementService
3,Get subscription usage exception message 404,"""2022-02-24 08:33:22.936  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get subscription usage exception message 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469004)\""}]\n""",2022-02-24T08:33:22.936000,"Get subscription usage exception message 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469004)\""}]\n""",INFO,nio-8080-exec-2,.w.r.s.m.s.SubscriptionManagementService
4,Get subscription usage exception message 404,"""2022-02-23 19:23:33.879  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get subscription usage exception message 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469546)\""}]\n""",2022-02-23T19:23:33.879000,"Get subscription usage exception message 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469546)\""}]\n""",INFO,nio-8080-exec-7,.w.r.s.m.s.SubscriptionManagementService
5,Get subscription usage exception message 404,"""2022-02-23 18:21:36.957  INFO 1 --- [nio-8080-exec-3] .w.r.s.m.s.SubscriptionManagementService : Get subscription usage exception message 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469546)\""}]\n""",2022-02-23T18:21:36.957000,"Get subscription usage exception message 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469546)\""}]\n""",INFO,nio-8080-exec-3,.w.r.s.m.s.SubscriptionManagementService
6,Get Subscription & Device Error 404,"""2022-02-23 16:52:55.393  INFO 1 --- [nio-8080-exec-4] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469956)\""}]\n""",2022-02-23T16:52:55.393000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469956)\""}]\n""",INFO,nio-8080-exec-4,.w.r.s.m.s.SubscriptionManagementService
7,Get Subscription & Device Error 404,"""2022-02-23 16:52:55.168  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469950)\""}]\n""",2022-02-23T16:52:55.168000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469950)\""}]\n""",INFO,nio-8080-exec-2,.w.r.s.m.s.SubscriptionManagementService
8,Get Subscription & Device Error 404,"""2022-02-23 16:52:54.942  INFO 1 --- [nio-8080-exec-1] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469949)\""}]\n""",2022-02-23T16:52:54.942000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469949)\""}]\n""",INFO,nio-8080-exec-1,.w.r.s.m.s.SubscriptionManagementService
9,Get Subscription & Device Error 404,"""2022-02-23 16:52:54.717  INFO 1 --- [io-8080-exec-10] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469946)\""}]\n""",2022-02-23T16:52:54.717000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469946)\""}]\n""",INFO,io-8080-exec-10,.w.r.s.m.s.SubscriptionManagementService
10,Get Subscription & Device Error 404,"""2022-02-23 16:52:54.481  INFO 1 --- [nio-8080-exec-8] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469945)\""}]\n""",2022-02-23T16:52:54.481000,"Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469945)\""}]\n""",INFO,nio-8080-exec-8,.w.r.s.m.s.SubscriptionManagementService
