PATTERN,IMPACT,URGENCY,PRIORITY
UnknownHostException,1,1,1
handleException,1,3,3
LoggingError,2,3,4
JsonSyntaxException,2,3,4
UnhandledException,1,1,1
ResourceAccessException,1,1,1
RestProcessingError,1,1,1
NoHttpResponseException,1,1,1
HttpClientErrorException,1,1,1
NumberFormatException,2,3,4
Get Subscriber Error 404,3,3,5
Create Subscriber Error 422,2,2,3
Create Service on account error 400,1,1,1
modify device for Number change exception message 500,1,1,1
Get Subscription & Device Error 404,2,3,4
Post a payment Error 404,1,3,3
Optima Billing Insights Error 400,1,3,3
Create Account Error 500,1,1,1
Create Account Error 400,2,3,4
modify device for Number change exception message 409,3,3,5
Get subscription usage exception message 404,2,3,4
Get Subscriber Error 500,1,1,1
Create Wholesale Offer Error 404,2,2,3
Create Wholesale Offer Error 400,2,3,4
Post a payment Error 400,1,1,1
Create Subscriber Error 409,2,3,4
Get subscription usage exception message 500,1,1,1
Create Subscriber Error 400,2,3,4
Create Account Error 503,1,1,1
Get Subscription & Device Error 500,1,1,1
Create Subscriber Error 500,1,1,1
modify device for Number change exception message 404,3,2,4
Create Wholesale Offer Error 409,3,3,5
Create subscription operation failed,2,3,4
Get Device operation failed,3,3,5
Exception in RemoveSubscription service -,2,2,3
Exception in deactivateSubscription service -,2,2,3
Get Subscription usage operation failed,2,3,4
Exception in resumeSubscription service -,2,2,3
Exception in deactivateSubscription -,3,2,4
Error parsing HTTP request header,3,3,5
Modify Device operation failed,2,3,4
Get Account Internal Id operation failed,2,3,4
Get User operation failed,2,3,4
Invalid subscriptionDetailsResponse object found,3,2,4
Create device operation failed,2,3,4
Get Subscription operation failed,2,3,4
Exception in suspendSubscription service -,2,2,3
Fetch Optima SSO token operation failed,2,3,4
Modify Subscription operation failed,3,3,5
Create user operation failed,2,3,4
create subscriber error offer invalid parameter,3,3,5
create account error mandatory parameter missing,3,3,5
create subscriber error device,3,3,5
create subscriber error existing subscription doe,3,3,5
exists error existing subscription doe,2,2,3
profile origin class path resource application,3,3,5
create account error invalid parameter,3,3,5
create subscriber error mandatory parameter missing,3,3,5
modify subscription detail invalid response result,3,2,4
post payment error invalid paymentmethod,2,2,3
optima billing insights error mandatory parameter,2,3,4
create subscriber error subscriber mandatory parameter,3,3,5
create subscriber error subscription attribute mandatory,3,3,5
request required format yyyy mm ddthh,3,3,5
