,ID,APPLICATION,LOGZIO_PROJECT,ENVIRONMENT,PATTERN,STATUS,IMPACT,URGENCY,PRIORITY,THRESHOLD_IMPACT,THRESHOLD_URGENCY,IMPACT_CHANGE_FLAG,URGENCY_CHANGE_FLAG,PRIORITY_CHANGE_FLAG,LAST_MODIFIED_BY,START_DTTM,ERROR_DESC
0,4c05940e-af6c-41da-9e94-dd5e8a5b0248,iAPI,Wireless Revenue Management Prod,PRODUCTION,Invalid subscriptionDetailsResponse object found,READY FOR USE,3,2,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:01.313,
1,12e8991d-088d-4757-afb2-fbaf75ea2c04,iAPI,Wireless Revenue Management Prod,PRODUCTION,create subscriber error device,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:11.078,
2,a552fdfd-32d3-484c-93f1-3d57fffb8598,iAPI,Wireless Revenue Management Prod,PRODUCTION,JsonSyntaxException,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:13.879,
3,efe38706-69f4-452b-a66c-a929237a5ea9,iAPI,Wireless Revenue Management Prod,PRODUCTION,Exception in RemoveSubscription service -,READY FOR USE,2,2,3,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:53.021,
4,4a711842-2b24-4966-9f5d-533110096e76,iAPI,Wireless Revenue Management Prod,PRODUCTION,modify device for Number change exception message 404,READY FOR USE,3,2,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:48.970,
5,6cabfab8-2368-4c0c-a608-45bc1ebcb503,iAPI,Wireless Revenue Management Prod,PRODUCTION,RestProcessingError,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:16.843,
6,5c4edb01-8a47-47b3-9be3-a603627e8a93,iAPI,Wireless Revenue Management Prod,PRODUCTION,create subscriber error offer invalid parameter,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:09.094,
7,69aa943a-3962-403c-b6b5-c6e7df59059c,iAPI,Wireless Revenue Management Prod,PRODUCTION,Exception in deactivateSubscription service -,READY FOR USE,2,2,3,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:53.986,
8,85bb5c4d-3e22-46e1-bf04-0fca3bf48073,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Subscriber Error 422,READY FOR USE,2,2,3,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:22.083,
9,5335c76b-5fc5-4ecf-a191-511382b95bf6,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get Subscriber Error 500,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:36.077,
10,996b9c4c-dadc-4c07-a2e5-f33c1ed70184,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Subscriber Error 409,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:41.084,
11,58eee96f-f464-43b6-9ef9-fa28565e61dd,iAPI,Wireless Revenue Management Prod,PRODUCTION,create account error mandatory parameter missing,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:10.082,
12,dfca942d-e674-423a-9e2e-25bb8700940b,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Wholesale Offer Error 409,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:49.852,
13,6c3185b9-8ae0-468d-b56d-6b50da18533c,iAPI,Wireless Revenue Management Prod,PRODUCTION,Modify Subscription operation failed,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:07.082,
14,4ee803a4-2de8-4a94-89d7-de6543aab2cf,iAPI,Wireless Revenue Management Prod,PRODUCTION,LoggingError,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:12.822,
15,0385a3eb-3da6-4159-b75f-7a550be00339,iAPI,Wireless Revenue Management Prod,PRODUCTION,ResourceAccessException,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:15.829,
16,3f3d3c33-d43a-4e04-a23c-997d457b1973,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Account Error 503,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:46.090,
17,a611c8a4-4732-4323-a4c9-1bdac586c7db,iAPI,Wireless Revenue Management Prod,PRODUCTION,modify subscription detail invalid response result,READY FOR USE,3,2,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:18.080,
18,056babdc-abad-4f2a-bebc-f5b80388c04a,iAPI,Wireless Revenue Management Prod,PRODUCTION,Optima Billing Insights Error 400,READY FOR USE,1,3,3,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:30.089,
19,0db07cf5-78c3-4fc5-a3ee-b2b86a7c3c4e,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get Subscription & Device Error 500,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:47.146,
20,004aeba9-0177-49a7-ad60-769e7ce8b5bd,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Subscriber Error 500,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:48.029,
21,cf3de149-19b1-4c7f-af78-fd2e92497b5a,iAPI,Wireless Revenue Management Prod,PRODUCTION,modify device for Number change exception message 409,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:34.080,
22,5f705f5c-f9e6-4094-9df5-3f9727ef8504,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Wholesale Offer Error 400,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:38.074,
23,db56fc36-3943-469e-9e20-387e79178375,iAPI,Wireless Revenue Management Prod,PRODUCTION,exists error existing subscription doe,READY FOR USE,2,2,3,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:14.069,
24,f6fbcbb8-7726-4147-a299-beec4ad963f5,iAPI,Wireless Revenue Management Prod,PRODUCTION,Error parsing HTTP request header,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:57.747,
25,567d92f2-7ce2-40ec-bdf7-2176adecd58b,iAPI,Wireless Revenue Management Prod,PRODUCTION,Modify Device operation failed,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:58.735,
26,37c3af20-eb0e-45ee-a121-2a76f8a1961a,iAPI,Wireless Revenue Management Prod,PRODUCTION,UnhandledException,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:14.928,
27,586fa978-27ab-4209-a984-4cea06d3f2a0,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Subscriber Error 400,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:44.081,
28,b2d3196a-65cc-45ee-ae0d-a244a5d4413e,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create Wholesale Offer Error 404,READY FOR USE,2,2,3,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:37.070,
29,8b9f2ee7-2f3c-4f6f-80e4-7fb725812db2,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get Subscriber Error 404,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:21.087,
30,d0dc40ad-45d0-41dc-b521-6e7586df07a2,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get subscription usage exception message 404,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:35.075,
31,1827d8e5-a3f6-4670-8822-5b46af8ca764,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get subscription usage exception message 500,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:42.093,
32,e3c7be44-2297-432e-a72f-662f6f4f0550,iAPI,Wireless Revenue Management Prod,PRODUCTION,Exception in deactivateSubscription -,READY FOR USE,3,2,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:56.919,
33,db411c78-7ea2-4937-8573-5f3652425a7c,iAPI,Wireless Revenue Management Prod,PRODUCTION,create subscriber error subscriber mandatory parameter,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:20.631,
34,30bde301-853b-4431-924e-f096b5159ed2,iAPI,Wireless Revenue Management Prod,PRODUCTION,NoHttpResponseException,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:17.735,
35,50535ad9-25fa-472f-b220-e2cb55eefb21,iAPI,Wireless Revenue Management Prod,PRODUCTION,HttpClientErrorException,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:18.739,
36,d336dc1b-d445-4566-8b66-76704e685db1,iAPI,Wireless Revenue Management Prod,PRODUCTION,profile origin class path resource application,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:15.071,
37,a84dacf5-8474-4f70-8c25-bdd842853e12,iAPI,Wireless Revenue Management Prod,PRODUCTION,Create user operation failed,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:08.084,
38,db1c4caf-6e28-43be-a340-056b7a31e36c,iAPI,Wireless Revenue Management Prod,PRODUCTION,post payment error invalid paymentmethod,READY FOR USE,2,2,3,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:18.928,
39,4031f129-ca0d-4e94-8915-711c547514d2,iAPI,Wireless Revenue Management Prod,PRODUCTION,Fetch Optima SSO token operation failed,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:06.069,
40,7b1b4a7c-8aef-4191-ab2a-a609bb0384f0,iAPI,Wireless Revenue Management Prod,PRODUCTION,UnknownHostException,READY FOR USE,1,1,1,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:10.977,
41,28cee272-6c6b-4133-b2fd-083451f7c284,iAPI,Wireless Revenue Management Prod,PRODUCTION,create subscriber error mandatory parameter missing,READY FOR USE,3,3,5,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:26:17.094,
42,c27e21c5-f587-4c02-a2f1-9d007df5ab7f,iAPI,Wireless Revenue Management Prod,PRODUCTION,Get Account Internal Id operation failed,READY FOR USE,2,3,4,,,NO CHANGE,NO CHANGE,NO CHANGE,SYSTEM,2022-03-10 01:25:59.529,
